:START_ID,:END_ID,:TYPE,properties,version,
E_Flight_CA123_20240208,O_Flight,INSTANCE_OF,{},Flightv0_4,
E_FlightPlan_CA123_20240208,O_FlightPlan,INSTANCE_OF,{},Flightv0_4,
E_Gate_T3_52,O_Gate,INSTANCE_OF,{},Flightv0_4,
E_Runway_01L,O_Runway,INSTANCE_OF,{},Flightv0_4,
E_ParkingStand_245,O_ParkingStand,INSTANCE_OF,{},Flightv0_4,
E_Airport_ZBAA,O_Airport,INSTANCE_OF,{},Flightv0_4,
E_Tower_ZBAA_T3,O_Tower,INSTANCE_OF,{},Flightv0_4,
E_ATCUnit_DEP,O_ATCUnit,INSTANCE_OF,{},Flightv0_4,
E_ExternalSystem_AODB,O_ExternalSystem,INSTANCE_OF,{},Flightv0_4,
E_FlightDelayed_20240208_001,O_FlightDelayedEvent,INSTANCE_OF,{},Flightv0_4,
E_NotifyTowerAction_001,O_NotifyTowerAction,INSTANCE_OF,{},Flightv0_4,
E_Flight_CA123_20240208,E_Gate_T3_52,USES,{},Flightv0_4,
E_Flight_CA123_20240208,E_Runway_01L,USES,{},Flightv0_4,
E_Flight_CA123_20240208,E_ParkingStand_245,PARKED_AT,{},Flightv0_4,
E_Airport_ZBAA,E_Runway_01L,MANAGES,{},Flightv0_4,
E_Airport_ZBAA,E_Gate_T3_52,MANAGES,{},Flightv0_4,
E_Airport_ZBAA,E_ParkingStand_245,MANAGES,{},Flightv0_4,
E_Tower_ZBAA_T3,E_Runway_01L,CONTROLS,{},Flightv0_4,
E_ATCUnit_DEP,E_Flight_CA123_20240208,MANAGES,{},Flightv0_4,
E_ExternalSystem_AODB,E_FlightDelayed_20240208_001,PRODUCES,{},Flightv0_4,
E_FlightDelayed_20240208_001,E_Flight_CA123_20240208,IMPACTS,{},Flightv0_4,
E_FlightDelayed_20240208_001,E_NotifyTowerAction_001,TRIGGERS,{},Flightv0_4,
E_NotifyTowerAction_001,E_Tower_ZBAA_T3,TARGET,{},Flightv0_4,
E_NotifyTowerAction_001,E_Flight_CA123_20240208,UPDATES,{},Flightv0_4,
