relationshipType,relationshipName,sourceObject,targetObject,direction,cardinality,required,version,description
INHERITANCE,belongsto,O_Asset,O_Object,-,-,-,Flight-0.41,O_Asset继承自O_Object根对象
INHERITANCE,belongsto,O_Airport,O_Asset,-,-,-,Flight-0.41,O_Airport继承自O_Asset资产基类
INHERITANCE,belongsto,O_Runway,O_Asset,-,-,-,Flight-0.41,O_Runway继承自O_Asset资产基类
INHERITANCE,belongsto,O_Gate,O_Asset,-,-,-,Flight-0.41,O_Gate继承自O_Asset资产基类
INHERITANCE,belongsto,O_ParkingStand,O_Asset,-,-,-,Flight-0.41,O_ParkingStand继承自O_Asset资产基类
INHERITANCE,belongsto,O_Aircraft,O_Asset,-,-,-,Flight-0.41,O_Aircraft继承自O_Asset资产基类
INHERITANCE,belongsto,O_Actor,O_Object,-,-,-,Flight-0.41,O_Actor继承自O_Object根对象
INHERITANCE,belongsto,O_Tower,O_Actor,-,-,-,Flight-0.41,O_Tower继承自O_Actor行为主体基类
INHERITANCE,belongsto,O_ATCUnit,O_Actor,-,-,-,Flight-0.41,O_ATCUnit继承自O_Actor行为主体基类
INHERITANCE,belongsto,O_ExternalSystem,O_Actor,-,-,-,Flight-0.41,O_ExternalSystem继承自O_Actor行为主体基类
INHERITANCE,belongsto,O_FlightPlan,O_Object,-,-,-,Flight-0.41,O_FlightPlan继承自O_Object根对象
INHERITANCE,belongsto,O_Flight,O_Object,-,-,-,Flight-0.41,O_Flight继承自O_Object根对象
INHERITANCE,belongsto,O_Event,O_Object,-,-,-,Flight-0.41,O_Event继承自O_Object根对象
INHERITANCE,belongsto,O_FlightDelayedEvent,O_Event,-,-,-,Flight-0.41,O_FlightDelayedEvent继承自O_Event事件基类
INHERITANCE,belongsto,O_FlightPlanChangedEvent,O_Event,-,-,-,Flight-0.41,O_FlightPlanChangedEvent继承自O_Event事件基类
INHERITANCE,belongsto,O_FlightDepartureEvent,O_Event,-,-,-,Flight-0.41,O_FlightDepartureEvent继承自O_Event事件基类
INHERITANCE,belongsto,O_FlightArrivalEvent,O_Event,-,-,-,Flight-0.41,O_FlightArrivalEvent继承自O_Event事件基类
INHERITANCE,belongsto,O_ResourceConflictEvent,O_Event,-,-,-,Flight-0.41,O_ResourceConflictEvent继承自O_Event事件基类
INHERITANCE,belongsto,O_GateReassignedEvent,O_Event,-,-,-,Flight-0.41,O_GateReassignedEvent继承自O_Event事件基类
INHERITANCE,belongsto,O_RunwayClosedEvent,O_Event,-,-,-,Flight-0.41,O_RunwayClosedEvent继承自O_Event事件基类
