objectName,fieldName,dataType,version,description
O_Object,objectId,string,Flight-0.41,对象全局唯一标识符
O_Object,objectType,string,Flight-0.41,"对象类型名称，如Airport、Flight等"
O_Object,objectLayer,string,Flight-0.41,"对象所属层级，固定值Ontology"
O_Object,version,string,Flight-0.41,"本体结构版本号，格式如1.0.0"
O_Object,description,string,Flight-0.41,"所有本体对象的根类型，定义通用元信息字段objectId和objectType。在现实世界中对应任何可被识别和追踪的业务实体的抽象表达，是知识图谱中所有节点的最上层抽象。"
O_Asset,assetId,string,Flight-0.41,资产唯一标识符
O_Asset,assetType,string,Flight-0.41,"资产类型，如Airport、Runway、Gate等"
O_Asset,assetName,string,Flight-0.41,资产名称
O_Asset,location,string,Flight-0.41,资产物理位置描述
O_Asset,status,enum,Flight-0.41,资产运行状态：Available（可用）、Occupied（占用中）、Maintenance（维护中）、OutOfService（停用）
O_Asset,objectLayer,string,Flight-0.41,固定值Ontology
O_Asset,version,string,Flight-0.41,版本号
O_Asset,description,string,Flight-0.41,"机场资产的抽象基类，描述所有物理资产的通用属性如资产标识、类型、位置和运行状态。在现实世界中对应机场内部可被分配、占用、维护的各类实体资源，包括但不限于机场设施、跑道、登机口、机位和飞机。"
O_Airport,airportCode,string,Flight-0.41,机场代码（优先使用ICAO四字码）
O_Airport,airportName,string,Flight-0.41,机场全称
O_Airport,timezone,string,Flight-0.41,"机场所在时区，如Asia/Shanghai"
O_Airport,icaoCode,string,Flight-0.41,"ICAO四字码，如ZBAA（北京首都机场）"
O_Airport,iataCode,string,Flight-0.41,"IATA三字码，如PEK"
O_Airport,country,string,Flight-0.41,机场所属国家或地区
O_Airport,objectLayer,string,Flight-0.41,固定值Ontology
O_Airport,version,string,Flight-0.41,版本号
O_Airport,description,string,Flight-0.41,"机场本体，描述民航机场的基本信息和全球标识符。在现实世界中对应具备起降能力的民用航空机场实体，通过ICAO四字码和IATA三字码在全球范围内唯一标识，包含时区信息用于航班时间计算。"
O_Runway,runwayId,string,Flight-0.41,跑道唯一标识符
O_Runway,runwayDesignator,string,Flight-0.41,"跑道编号，如01L、19R，表示磁方位和左/右平行跑道"
O_Runway,category,enum,Flight-0.41,仪表着陆等级：CAT_I、CAT_II、CAT_III
O_Runway,length,int,Flight-0.41,跑道长度（米）
O_Runway,width,int,Flight-0.41,跑道宽度（米）
O_Runway,surfaceType,string,Flight-0.41,"道面类型，如沥青、混凝土"
O_Runway,status,enum,Flight-0.41,跑道状态：Available（可用）、Occupied（占用中）、Closed（关闭）、Maintenance（维护中）
O_Runway,objectLayer,string,Flight-0.41,固定值Ontology
O_Runway,version,string,Flight-0.41,版本号
